date,session_id,phase,environment,client_app,provider,model,service_tier,participants,prompt_count,estimated_tokens,cost_usd,pricing_mode,goal,source_refs,what_changed,why_it_mattered,artifacts,ai_usage_strategy,evidence_value,report_section_hint,token_note,follow_up,prompt_candidate,decision_candidate,daily_note_hint,memory_hint,status,notes
2026-04-06,S-GPT-001,Contest Research,Web,ChatGPT,OpenAI,GPT-5.4,Pro,User + GPT,4,50000,,flat-subscription,대회 개요와 준비 로드맵의 큰 그림을 잡는다,공식 URL | 공지 PDF | 홍보 PDF 2종,대회 개요서 초안과 플레이북 방향 및 프롬프트 트래커 초기 구조가 만들어졌다,이후 모든 운영 설계와 워크스페이스 구축의 출발점이 되었다,[[바이브코딩공모전_공지]] | [[vibe_contest_master_playbook_v0_1]] | KEG_AI_Prompt_Tracker.xlsx,설계와 방향 설정을 Web AI에 먼저 맡기고 로컬 구현은 후속 에이전트로 넘겼다,대회 해석과 초기 전략의 기원 기록,기획 | AI 활용 전략 | 도구 선택 이유,정액제 환경이라 exact unavailable,후속 리서치와 구현 분업 검증,P-001~P-004가 이 세션에서 생성됨,,ChatGPT로 개요서와 준비 단계 큰 그림 확보,초기 운영 방향과 플레이북의 출발점,logged,엑셀 트래커 원형과 가장 가까운 초기 기획 세션
2026-04-06,S-PPLX-001,Contest Research,Web,Perplexity,Perplexity,Search+AI,Pro,User + Perplexity,2,18000,,flat-subscription,기관 의도와 유사 대회 패턴을 리서치한다,기관 정보 | 대회 공지 | 웹 검색 결과,기관 선호 포인트와 심사 문법을 추론할 재료를 모았다,문제 정의를 기관 친화 문법으로 맞추는 기준이 생겼다,[[기관_분석_및_심사_전략]] | [[계보_포지셔닝_분석]],Perplexity는 대규모 탐색과 출처 모음에만 쓰고 최종 판단은 별도 문서와 결합했다,기관 적합성과 심사 전략 근거,기획 | 문제 정의 근거 | AI 활용 전략,토큰 비공개라 conservative estimate,실제 문제 후보 평가 시 조사 재활용,P-005와 P-006은 승격 가치가 높음,,기관/심사 문법 리서치 근거 확보,향후 scorecard와 문제 정의에서 재참조 필요,logged,출처 품질은 별도 검증 필요
2026-04-06,S-001,Contest Research,CLI,Claude Code,Anthropic,Opus 4.6,Max,User + Claude,0,,,usage-based-exact-in-jsonl,대회 개요 정리와 워크스페이스 구조화를 시작한다,공지 PDF | 홍보 PDF | 플레이북,대회 개요서와 초기 워크스페이스 구조 및 MOC와 에이전트 뼈대가 만들어졌다,프로젝트 전체를 증빙 중심 워크스페이스로 운영하는 출발점이 되었다,[[바이브코딩공모전_공지]] | `_MOC/` | `.agent/agents/`,Claude Code는 로컬 파일 생성과 구조화에 집중했다,워크스페이스 초기 생성 기록,워크플로우 | AI 활용 과정,exact token source exists in Claude JSONL,증빙 시스템 확장 단계로 연결,,평탄 구조와 증빙 중심 운영 시작,데일리와 장기 기억에 첫 세션 출발점으로 남길 것,,logged,Claude exact 통계는 별도 집계
2026-04-06,S-002,Workspace Setup,CLI,Claude Code,Anthropic,Opus 4.6,Max,User + Claude,0,,,usage-based-exact-in-jsonl,증빙 시스템 개선과 포터블 환경을 정리한다,플레이북 | 엑셀 트래커,증빙 구조 분석 문서와 setup 스크립트 및 포터블 설정이 추가되었다,기록 체계가 일회성이 아니라 재현 가능한 구조로 전환되었다,evidence-system-improvement-analysis.md | setup.sh | portable-config.md,분석 결과를 바로 스크립트와 설정 파일로 연결했다,증빙 체계와 포터블 환경 설계 기록,AI 활용 전략 | 유지보수성,exact token source exists in Claude JSONL,PLAN/PROGRESS 생성으로 이어짐,,엑셀 기반 기록 체계의 한계가 드러남,포터블 환경 구축 이유와 효과를 memory에 남길 것,,logged,DEC-004 전후 맥락과 연결됨
2026-04-06,S-003,Workspace Setup,CLI,Claude Code,Anthropic,Opus 4.6,Max,User + Claude + Codex,0,,,usage-based-exact-in-jsonl,멀티에이전트 조율 체계를 도입한다,Codex 평가 | 운영 문서,PLAN과 PROGRESS가 생기고 멀티 AI 동기화 프로토콜이 도입되었다,여러 AI가 현재 상태와 다음 할 일을 공유할 수 있게 되었다,[[.agent/system/ops/PLAN]] | [[.agent/system/ops/PROGRESS]],Claude는 운영 문서 반영을 맡고 Codex 평가는 입력 신호로 활용했다,멀티 에이전트 조율 체계의 기원,워크플로우 | AI 활용 과정,Claude exact token은 JSONL 참조,증빙 확장과 아키텍처 시각화로 연결,,PLAN/PROGRESS 도입 계기,다중 AI 정합화 위험을 장기 기억에 남길 것,,logged,DEC-006과 직접 연결
2026-04-06,S-CODEX-001,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,10000,,flat-subscription,워크스페이스 전반을 평가해 약점과 개선점을 찾는다,전체 워크스페이스,워크스페이스 평가서와 개선 우선순위가 정리되었다,운영 정본화와 증빙 체계 재설계의 외부 피드백 근거가 되었다,[[codex-workspace-evaluation]],Codex는 감사와 정리 역할로 활용했다,초기 진단과 약점 식별 근거,AI 활용 전략 | 운영 감사,exact unavailable estimate,평가 결과를 운영 문서에 통합,,Codex 평가서를 통해 개선 방향 확보,PROGRESS에 Codex 참여 이력으로 남길 것,,logged,ai-usage-log U-013 기반 백필
2026-04-06,S-CODEX-002,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,2,16000,,flat-subscription,AI-native 운영감사 보고서를 작성하고 수정한다,플레이북 | AGENTS | CLAUDE | 증빙 로그,운영감사 보고서 초안과 수정본이 만들어졌다,운영 체계의 통합성/재현성/자동화 한계를 구조적으로 정리했다,[[ai-native-workspace-audit-report]],Codex를 감사와 구조 개선 제안 채널로 사용했다,감사 보고서와 개선 제안 근거,AI 활용 전략 | 유지보수성,exact unavailable estimate,운영 정본 V2 구현으로 연결,,,운영 구조 약점과 개선 포인트를 memory에 유지,,logged,ai-usage-log U-016~017 기반 백필
2026-04-06,S-OPS-001,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,12000,,flat-subscription,공용 운영 정본 V2를 실제 파일 구조로 반영한다,승인된 V2 계획 | 기존 운영 문서,`.agent/system/` 골격과 계약 문서 및 정본 메모리와 맵 구조가 생겼다,공용 운영 정본이 생기며 워크스페이스가 재현 가능한 시스템으로 바뀌었다,[[workspace-contract]] | [[workspace-atlas]] | `.agent/system/`,구조 설계를 문서와 실제 파일 이동으로 동시에 반영했다,운영 정본화와 시스템 레이어 구축,AI 활용 전략 | 유지보수성/재현성,exact unavailable estimate,문제 리서치 세션에서도 같은 구조가 유효한지 검증,,`.agent/system`을 canonical로 채택,구조 변경 사실을 장기 기억에 남길 것,,logged,session-log 기반
2026-04-06,S-OPS-002,Workspace Cleanup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,14000,,flat-subscription,루트 구조와 경로 정합성을 단순화한다,현재 폴더 구조 | `.agent` | `.claude` | `03_제품` | `04_증빙`,운영 파일이 `.agent/system/ops`로 이동하고 `.claude`가 최소 어댑터로 정리되었다,루트 혼란이 줄고 공용 운영 자산 위치가 명확해졌다,`.agent/system/ops/` | `.claude/` | `03_제품/`,정본과 어댑터를 분리하는 방향으로 정리했다,루트 최소화와 어댑터 단순화 기록,유지보수성 | 재현성,exact unavailable estimate,실전 운용 검증으로 연결,,루트 최소화와 `.context` 제거 결정,경로 정합성 변경은 atlas와 progress에 유지,,logged,DEC-009와 직접 연결
2026-04-06,S-OPS-003,Workspace Cleanup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,14000,,flat-subscription,처음 보는 사용자 기준으로 memory/maps/evidence를 단순화한다,기존 memory/maps/evidence 구조 | 사용자 요구,장기기억/일일기억과 workspace-atlas 및 핵심로그/분석자료/daily 3구역 구조가 생겼다,학습 비용이 줄고 세션 종료 동기화 경로가 분명해졌다,[[long-term-memory]] | [[daily-memory]] | [[workspace-atlas]],복잡한 구조를 파일 수 축소와 sync 스킬로 함께 정리했다,초심자 친화 구조 개편 근거,워크플로우 | 유지보수성,exact unavailable estimate,workspace-sync 실전 적용 검증,,memory/maps/evidence 단순화 결정,구조 단순화 이유를 장기 기억에 남길 것,,logged,DEC-010과 직접 연결
2026-04-06,S-OPS-004,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,8000,,flat-subscription,GitHub 운영 전용 스킬을 추가한다,사용자 요청 | 운영 규칙 | 증빙 구조,`github-workflow` 스킬과 registry 연결이 추가되었다,GitHub 작업도 증빙 흐름과 같은 규칙 아래 관리되게 되었다,`.agent/skills/github-workflow/SKILL.md` | registry,commit/push/PR 흐름을 프로젝트 스킬로 표준화했다,GitHub 운영 표준화 기록,AI 활용 전략 | 운영 자동화,exact unavailable estimate,실제 GitHub issue/commit 작업에서 검증,,GitHub 작업을 evidence gate와 연결,GitHub 작업도 증빙 대상이라는 점을 기억에 남길 것,,logged,DEC-011 맥락
2026-04-06,S-OPS-005,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,10000,,flat-subscription,Obsidian-first 운영 기준을 정본 문서에 명시한다,사용자 지시 | obsidian CLI | 공용 운영 문서,Obsidian workspace 스킬과 관련 규칙이 AGENTS와 계약 문서에 반영되었다,이 저장소가 일반 markdown repo가 아니라 Obsidian vault라는 전제가 고정되었다,`.agent/skills/obsidian-workspace/SKILL.md` | [[AGENTS]],vault 규칙과 스킬 사용 원칙을 함께 고정했다,Obsidian-first 운영 기준의 정착,도구 선택 이유 | 워크플로우,exact unavailable estimate,실제 note/MOC/base 작업에서 실전 적용,,문서 레이어를 Obsidian 자산으로 취급,Obsidian-first 원칙을 장기 기억에 고정,,logged,DEC-012 맥락
2026-04-06,S-OPS-006,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,12000,,flat-subscription,Claude runtime command layer를 얇게 설계한다,Claude Code slash command 문서 | 기존 agents/skills,`.claude/commands`와 command stack registry가 추가되었다,런타임 접근성은 높이고 공용 정본 중복은 줄일 수 있게 되었다,`.claude/commands/` | [[claude-command-stack]],entrypoint는 얇게 두고 실제 로직은 agents/skills를 재사용하게 설계했다,command layer 설계와 재사용 전략,유지보수성 | 재현성,exact unavailable estimate,Claude runtime 실사용 검증,,command layer를 얇게 유지하는 방향,정본 중복 방지 원칙을 기억에 남길 것,,logged,DEC-013 맥락
2026-04-06,S-OPS-007,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,10000,,flat-subscription,GitHub issue/project 운영 스킬을 분리한다,사용자 요청 | `gh issue --help` | `gh project --help`,issue/project 전용 스킬과 registry 연결이 추가되었다,GitHub 코드 흐름과 관리 흐름을 분리해 유지보수성이 좋아졌다,`.agent/skills/github-issue-ops/` | `.agent/skills/github-project-ops/`,상위 workflow는 유지하고 하위 운영 스킬을 분리했다,GitHub 운영 세분화 기록,AI 활용 전략 | 운영 자동화,exact unavailable estimate,실제 issue triage와 board 생성에서 검증,,GitHub management flow 분리,GitHub 운영 구조 변화를 장기 기억에 남길 것,,logged,DEC-014 맥락
2026-04-06,S-OPS-008,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,9000,,flat-subscription,증빙 입력을 단일 원장 체계로 전환한다,기존 핵심 로그 | 공용 규칙,`master-evidence-ledger.md`가 직접 입력 정본으로 재정의되고 관련 규칙이 바뀌었다,기록 비용을 줄이고 AI 리포트 재료를 한 곳에 쌓을 수 있게 되었다,[[master-evidence-ledger]] | [[memory-evidence-policy]],입력 1개와 파생 N개 전략으로 기록 비용을 줄였다,로깅 전략 변화와 유지비 절감,AI 활용 전략 | 토큰 절약 전략,exact unavailable estimate,실제 세션 운영에서 체계 검증,,단일 원장 전략 도입,증빙 입력 마찰 감소가 왜 중요했는지 기억에 남길 것,,logged,이후 이번 턴에서 다시 intake-first로 재설계됨
2026-04-06,S-OPS-009,Workspace Setup,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,12000,,flat-subscription,MOC를 중앙화하고 도구 문서를 저장소 내부로 가져온다,기존 MOC 구조 | tool docs,`_MOC/` 중앙화와 `_system/tools/`, `_system/team-setup/` 공간이 만들어졌다,다른 워크스페이스나 전역 환경에 덜 의존하는 포터블 구조가 되었다,[[_MOC_HOME]] | [[_system/tools/README]] | team-computer-setup-guide.md,구조 변경은 정본 문서와 팀 가이드까지 함께 묶었다,포터블 환경과 도구 계층 정리,도구 선택 이유 | 재현성,exact unavailable estimate,Obsidian CLI와 NLM 설치 실동작 검증,,도구 정본 문서를 저장소 내부로 내재화,팀 재현성 강화 근거를 기억에 남길 것,logged,master ledger 기반 백필
2026-04-08,S-STRAT-010,Strategy,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,12000,,flat-subscription,Karpathy 스타일 LLM Wiki를 현재 워크스페이스에 삽입한다,전략 문서 | wiki 설계 방향,`06_LLM위키/` 레이어와 schema/index/log/overview가 생겼다,리서치 지식을 채팅 로그가 아니라 지속 가능한 wiki layer에 누적할 수 있게 되었다,[[karpathy-llm-wiki-adaptation]] | `06_LLM위키/`,raw/wiki/schema 3층을 분리해 compounding knowledge 구조를 만들었다,지속 지식 시스템 설계,AI 활용 전략 | 데이터 흐름 | 재현성,exact unavailable estimate,기존 전략 문서 첫 ingest 실행,,LLM 위키 레이어 도입,지식 시스템 변경을 장기 기억에 남길 것,,logged,master ledger 기반 백필
2026-04-08,S-OPS-011,Workspace Operations,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,15000,,flat-subscription,태그와 계층 규칙을 vault 전반에 일관되게 적용한다,note frontmatter | dashboard/base | 규칙 문서,namespace 태그 체계와 `up` 속성 및 감사 스크립트와 템플릿이 정리되었다,검색/필터/구조 복구가 안정화되었다,[[tagging-system]] | `tag-audit.sh` | templates,규칙 문서와 스크립트와 실제 노트를 한 번에 맞췄다,정보 구조 정규화와 vault 유지보수 방식,AI 활용 전략 | 유지보수성,exact unavailable estimate,새 note 생성 기본값으로 동일 규칙 유지,P-007과 P-008은 재사용 프롬프트 자산으로 승격 가치 높음,DEC-015와 DEC-016의 실행 근거,태그 정규화와 `up` 복원 작업 완료,태그/계층 규칙 변경 사실을 장기 기억에 남길 것,logged,master ledger와 decision log에 이미 반영된 세션
2026-04-08,S-OPS-012,Evidence,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,1,14000,,flat-subscription,대시보드와 계획/진행/데일리/메모리를 제출용으로 정렬한다,project dashboard | PLAN | PROGRESS | daily memory,프로젝트 대시보드가 간트형 진행판으로 재설계되고 연계 문서가 보강되었다,나중에 AI 리포트와 결과보고서에서 작업 흐름을 설명할 수 있게 되었다,[[project-dashboard]] | [[PLAN]] | [[PROGRESS]] | [[2026-04-08]],PM 문서와 증빙 문서를 visible dashboard로 연결해 설명 가능성을 높였다,제출용 진행 가시화 레이어,워크플로우 | 프로젝트 관리 방식,exact unavailable estimate,주제 확정 이후 제품 태스크도 같은 방식으로 누적,,DEC-018의 실행 근거,대시보드가 제출용 진행 아티팩트로 바뀜,데일리와 daily-memory 동기화 이유를 기억에 남길 것,logged,master ledger 기반 백필
2026-04-08,S-RES-013,Research Ops,Desktop App,Codex,OpenAI,GPT-5,Plus,User + Codex,2,22000,,flat-subscription,리서치 작업 공간을 구축하고 NotebookLM을 통합한다,`06_LLM위키/sources` | 전략 문서 | NotebookLM,리서치 허브/플랜/프롬프트/로그와 통합 브리프가 만들어지고 NotebookLM 노트북이 생성되었다,흩어진 리서치 결과를 MVP 판단용 합성 계층으로 묶을 수 있게 되었다,`research-hub` | `research-plan-eduswarm-v0` | NotebookLM notebook,구조화는 Codex가 맡고 상위 비교 질문은 NotebookLM 합성 계층으로 넘겼다,리서치 운영 구조와 합성 도구 검증,문제 정의 근거 | AI 활용 전략,Codex exact unavailable estimate and NotebookLM exact unavailable,scorecard 반영과 최종 문제 압축으로 연결,,NotebookLM을 리서치 합성 도구로 검증,담임 모드 우선 가설을 memory에 유지,,logged,혼합 도구 세션이지만 intake에서는 한 row로 기록
2026-04-08,S-OPS-014,Workspace Hardening,Desktop App,Codex,OpenAI,GPT-5.4,Plus,User + Codex,1,9000,,flat-subscription,공개 저장소 push 전 secret/privacy 점검 절차를 고정한다,GitHub 운영 정책 | `.gitignore`,pre-push safety gate와 관련 정책/스크립트가 추가되었다,공개 저장소 운영에서 보안 점검이 구조보다 우선이라는 기준이 생겼다,`pre-push-safety-check.sh` | `.gitignore`,정책 문서와 실행 스크립트와 ignore rule을 같이 둬서 누락을 줄였다,보안과 공개 저장소 운영 안전장치,운영 안전장치 | 재현성,exact unavailable estimate,이후 push 전 표준 루틴으로 사용,,보안 gate 추가를 decision 후보로 검토 가능,공개 저장소 운영 원칙을 장기 기억에 유지,,logged,master ledger 기반 백필
2026-04-08,S-EVID-015,Evidence Operations,Desktop App,Codex,OpenAI,GPT-5.4,Plus,User + Codex,2,12000,,flat-subscription,Codex 세션도 증빙 원장과 외부 AI 사용 집계에 포함되게 만든다,기존 evidence docs | external-ai-usage.csv,Codex 토큰을 estimate로 기록하는 규칙이 실제 CSV와 원장에 반영되었다,Claude만 exact 집계되고 Codex가 누락되는 왜곡을 줄였다,[[master-evidence-ledger]] | `external-ai-usage.csv`,exact source가 없는 도구는 zero로 비우지 않고 보수 추정치로 누적했다,도구별 사용량 비교와 멀티 AI 분업 기록,AI 활용 과정 | 통계,exact unavailable and recorded as estimate,nightly 집계 시 stats 재생성,P-009 evidence orchestrator prompt는 재사용 가치 있음,,Codex 토큰 추정치 기록 반영,외부 AI 사용 통계 왜곡 방지 맥락 유지,logged,이번 턴에서 기존 CSV를 보강한 세션
2026-04-09,S-STRAT-016,Reference Analysis,Desktop App,Codex,OpenAI,GPT-5.4,Plus,User + Codex,1,18000,,flat-subscription,`paperclip-master` 실제 코드 기준으로 분석 문서를 보강하고 운영 메모리를 최신화한다,`paperclip-master` repo | `ui/src/App.tsx` | architecture/api/deploy/plugin docs,`paperclip-analysis` 문서가 개념 메모에서 repo-grounded 분석으로 바뀌고 운영 문서와 메모리도 현재 상태 기준으로 정렬되었다,reference 프로그램을 chat이 아니라 control plane으로 이해하게 되면서 향후 제품 정의의 기준점이 명확해졌다,`02_전략/paperclip-analysis/` | [[PLAN]] | [[PROGRESS]] | [[daily-memory]],Codex는 로컬 repo 해체와 전략/운영 문서 동기화를 한 세션 안에서 연결했다,reference 분석을 실제 제품 방향 입력으로 승격한 기록,문제 정의 근거 | 워크플로우 | AI 활용 전략,exact unavailable estimate,다음으로 problem-definition-source와 scorecard에 반영,,paperclip 해체 분석을 문제 정의 입력으로 승격,메모리와 대시보드를 현재 상태로 맞춘 이유를 남길 것,logged,2026-04-09 reference analysis + workspace sync 세션
2026-04-09,S-OPS-017,Workspace Sync,Desktop App,Codex,OpenAI,GPT-5.4,Plus,User + Codex,1,8000,,flat-subscription,운영 문서와 메모리와 AI 사용 기록을 한 번 더 최신 상태로 동기화한다,PLAN | PROGRESS | daily-memory | ai-usage-stats | ai-session-intake,반복 요청 기준으로 운영 정합성을 다시 맞추고 intake/dispatch/usage stats를 재실행했다,다음 에이전트가 읽는 운영 상태와 통계가 더 최신화되었다,[[PLAN]] | [[PROGRESS]] | [[daily-memory]] | [[ai-usage-stats]],Codex를 운영 동기화와 증빙 재생성 루틴 검증에 사용했다,운영 루틴 반복 가능성 검증,워크플로우 | AI 활용 전략 | 유지보수성,exact unavailable estimate,nightly dispatch와 stats 재집계를 같은 패턴으로 반복 유지,,,,반복 요청에서도 intake-first 규칙을 유지했다는 점을 기억에 남길 것,logged,2026-04-09 follow-up workspace sync 세션
